country,series_no,metric,value,rank_among_50_states,ranked_metrics,first_places,govt_debt_pct_gdp,budget_balance_pct_gdp
Poland,1,Life expectancy,77.2 yrs,27th,12,6,58.8,-7.0
Poland,1,Infant mortality,3.9,6th,12,6,58.8,-7.0
Poland,1,Homicide rate,0.66,1st,12,6,58.8,-7.0
Poland,1,Gun deaths,0.27,1st,12,6,58.8,-7.0
Poland,1,People in prison,190,1st,12,6,58.8,-7.0
Poland,1,"Gun deaths, ages 1-19",0.03,1st,12,6,58.8,-7.0
Poland,1,Road deaths,7.7,6th,12,6,58.8,-7.0
Poland,1,GDP per capita,"$28,374",51st,12,6,58.8,-7.0
Poland,1,"GDP per capita, price-adjusted","$55,793",51st,12,6,58.8,-7.0
Poland,1,Minimum wage,$8.27/h,31st,12,6,58.8,-7.0
Poland,1,Maternity leave,20.0 wks,1st,12,6,58.8,-7.0
Poland,1,"All paid leave, mothers",40.3 wks,1st,12,6,58.8,-7.0
France,2,Life expectancy,82.3 yrs,1st,12,7,116,-5.1
France,2,Infant mortality,4.0,6th,12,7,116,-5.1
France,2,Homicide rate,0.64,1st,12,7,116,-5.1
France,2,Gun deaths,2.27,1st,12,7,116,-5.1
France,2,People in prison,114,1st,12,7,116,-5.1
France,2,"Gun deaths, ages 1-19",0.16,1st,12,7,116,-5.1
France,2,Road deaths,4.8,2nd,12,7,116,-5.1
France,2,GDP per capita,"$48,930",51st,12,7,116,-5.1
France,2,"GDP per capita, price-adjusted","$66,276",50th,12,7,116,-5.1
France,2,Minimum wage,$13.80/h,21st,12,7,116,-5.1
France,2,Maternity leave,16.0 wks,1st,12,7,116,-5.1
France,2,"All paid leave, mothers",19.6 wks,1st,12,7,116,-5.1
Denmark,3,Life expectancy,81.3 yrs,1st,12,10,27.5,+2.9
Denmark,3,Infant mortality,2.4,1st,12,10,27.5,+2.9
Denmark,3,Adult obesity,18.7%,1st,12,10,27.5,+2.9
Denmark,3,Homicide rate,0.62,1st,12,10,27.5,+2.9
Denmark,3,Gun deaths,1.01,1st,12,10,27.5,+2.9
Denmark,3,People in prison,65,1st,12,10,27.5,+2.9
Denmark,3,"Gun deaths, ages 1-19",0.16,1st,12,10,27.5,+2.9
Denmark,3,Road deaths,3.4,1st,12,10,27.5,+2.9
Denmark,3,GDP per capita,"$77,046",35th,12,10,27.5,+2.9
Denmark,3,"GDP per capita, price-adjusted","$86,094",23rd,12,10,27.5,+2.9
Denmark,3,Minimum wage,none,-,12,10,27.5,+2.9
Denmark,3,Maternity leave,10.9 wks,1st,12,10,27.5,+2.9
Denmark,3,"All paid leave, mothers",20.4 wks,1st,12,10,27.5,+2.9
Germany,4,Life expectancy,80.7 yrs,1st,13,9,62.9,-2.7
Germany,4,Infant mortality,3.2,3rd,13,9,62.9,-2.7
Germany,4,Adult obesity,17.9%,1st,13,9,62.9,-2.7
Germany,4,Homicide rate,0.39,1st,13,9,62.9,-2.7
Germany,4,Gun deaths,0.96,1st,13,9,62.9,-2.7
Germany,4,People in prison,77,1st,13,9,62.9,-2.7
Germany,4,"Gun deaths, ages 1-19",0.05,1st,13,9,62.9,-2.7
Germany,4,Road deaths,3.7,1st,13,9,62.9,-2.7
Germany,4,GDP per capita,"$60,439",50th,13,9,62.9,-2.7
